algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.45255198786656065,1.977705561319987,nan,0.23379614523478917,0.23516964085400105,1000.0,nan,nan,0,0,0,30800,2.038725665637425,1.288843452334404,0.8611573094231142,0.8670556234351662,0.0,0.0,0.26351076997229567,0.26351076997229567,5.096814019339425,3.2221085810661316,0.26351076997229567,5.551115123125783e-17,0.3,0.9998714124612499,0.9872231176472505
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.5644993182023367,1.718678390979767,nan,0.20777701307088137,0.2276400101184845,1000.0,nan,nan,0,0,0,31168,2.73472648113966,1.4684123051166535,0.7207992644412182,0.825852827810428,0.0,0.0,0.30216558923805237,0.3021655892380524,6.741349741816521,3.113046154975891,0.3021655892380525,1.1102230246251565e-16,0.315,0.9991292311862752,0.9719677867411269
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6164933170874913,1.4976288080215454,nan,0.19084854026635487,0.2132997638732195,1000.0,nan,nan,0,0,0,31306,2.432568248112996,1.509313432574272,0.6221542326638798,0.7752754173122947,0.0,0.0,0.3441026623744499,0.3441026623744499,6.013025554021199,3.049826126098633,0.3441026623744499,5.551115123125783e-17,0.33,0.9985547478486301,0.9516449455487879
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.6466933178901673,1.3237915579477946,nan,0.16921261101961135,0.1975334671139717,1000.0,nan,nan,0,0,0,31382,2.1162407457828523,1.4751574891805648,0.5222755620882146,0.7231816184126015,0.0,0.0,0.38986963149288734,0.38986963149288734,5.149767434597015,2.895924301147461,0.38986963149288734,0.0,0.345,0.9973498221420145,0.9307943772238202
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.6696876500050227,1.1923227588335672,nan,0.14513907262257167,0.17805482618510723,1000.0,nan,nan,0,0,0,31208,1.9410364627838135,1.3940400844812393,0.4333253713648708,0.6715128598854854,0.0,0.0,0.44226468151870224,0.4422646815187023,4.8073621817997525,2.688569571971893,0.44226468151870235,1.1102230246251565e-16,0.36,0.9969171380168363,0.9078540032775264
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.6875813166300456,1.0949358423550923,nan,0.12930594467454487,0.1538447506725788,1000.0,nan,nan,0,0,0,30866,2.088008681933085,1.2523708617687226,0.3939129227524428,0.5898193231426572,0.0,0.0,0.53157775151441,0.53157775151441,4.876654863357544,2.3133918035030363,0.53157775151441,1.1102230246251565e-16,0.375,0.9967481619988314,0.895377706321874
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.6994389830032984,1.0229640303055445,nan,0.11018506636222204,0.13102617625147103,1000.0,nan,nan,0,0,0,31172,1.5578059434890748,1.108169552087784,0.34593732797285603,0.5057780794073213,0.0,0.0,0.558999622203959,0.5589996222039592,3.61031273206075,2.0088014191389085,0.5589996222039593,2.220446049250313e-16,0.39,0.996122913958365,0.8794628616493312
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.7078503157695134,0.9683288266261418,nan,0.0968901552259922,0.11454685907810927,1000.0,nan,nan,0,0,0,31048,1.2977643807729085,0.9487591060996056,0.29340216596917884,0.42968690647480867,0.0,0.0,0.5880046216568432,0.5880046216568432,3.02580279774136,1.6801990580558777,0.5880046216568433,0.0,0.405,0.9950530293212347,0.867982716016156
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.7142306492726008,0.9248884534835815,nan,0.08860862255096436,0.10245637398213148,1000.0,nan,nan,0,0,0,31914,1.1774513229079868,0.8150544005632401,0.27849357414730336,0.36432625069127367,0.0,0.0,0.6186656634250421,0.6186656634250421,2.4347814684328823,1.4454217606782913,0.6186656634250423,0.0,0.42,0.9934983947557546,0.8484239438726195
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.7205689813693364,0.8889262864987055,nan,0.08182712147633235,0.09112148862332106,1000.0,0.0,nan,0,1,0,31737,1.2002687520451016,0.7001946356892585,0.28087405590146697,0.31032971714208873,0.05555555555555555,0.0,0.6510644430024427,0.6510644430024426,2.3786899381213717,1.2412144976854325,0.6510644430024427,1.1102230246251565e-16,0.435,0.9926895793387365,0.8320840129875087
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.7255716500679652,0.8588299765189489,nan,0.07471942352621179,0.08276156760752201,1000.0,0.0,nan,0,70,0,31964,0.8933335244655609,0.6090525183081626,0.23691728289942968,0.2689208540515039,0.10526315789473684,0.34,0.6852937746268957,0.6852937746268957,1.9171256328883923,1.0962461835145951,0.6852937746268957,0.0,0.44999999999999996,0.9918282880294824,0.8109156871241164
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.7303116484483083,0.8332158756256104,nan,0.0705524736808406,0.07597381588071585,1000.0,nan,nan,0,96,0,31584,1.0008783903386858,0.5230581878125667,0.22179217792774866,0.2375434912008435,0.0,0.48,0.7214611380882577,0.7214611380882578,1.9059241347842746,0.9330276799201965,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9909697555637974,0.7973442716823209
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.7344066468874614,0.8111148323615393,nan,0.06635901670564305,0.0714418038353324,1000.0,nan,nan,0,0,0,30700,1.10528026656671,0.45897970110177994,0.21605685325525678,0.21303294236503023,0.0,0.0,0.7596944884031195,0.7596944884031196,2.1881714354861868,0.831043541431427,0.7596944884031196,0.0,0.48,0.990639549117592,0.7913853134711281
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.7380889785289765,0.7920839071273804,nan,0.062084309537621105,0.06713514681905508,1000.0,0.0,nan,0,98,0,30878,1.0164300589000477,0.40423710688948633,0.19800723732123024,0.19301386124612044,0.11764705882352941,0.48,0.8001526997791857,0.8001526997791858,1.7263417840003967,0.731914694905281,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9895875135296127,0.787037713725883
