algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,2.9799135515809363,0.8678894779086113,0.4980931083112955,nan,0.7764430249279196,0.07042353823781014,1000.0,0.0,nan,0,11147,0,119,0.9029667980269921,0.0,4242.53155916226,0.0,203.47331862016156,0.0,0.9029667980269921,0.0,203.47331862016156,0.0,0.8971138623627749,0.0,1.507814582843552,0.0,0.1853897508593615,0.010005144122987985,1.507814582843552,1.1358742683433871,0.8971138623627749,0.9029667980269921,11.191032524108886,233.33923575392436
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,2.9799135515809363,0.8693887281417847,0.4885871846973896,nan,0.8778725624084472,0.06887048579752446,1000.0,0.0,nan,0,10623,0,111,0.9090617795086243,0.0,4385.9231614803875,0.0,204.9648895263672,0.0,0.9090617795086243,0.0,204.9648895263672,0.0,0.8785104274749755,0.0,1.5413366094909113,0.0,0.2364723813875268,0.003726493353024125,1.5413366094909113,1.1372669251478682,0.8785104274749755,0.9090617795086243,7.68618335723877,164.47211855551453
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,2.9799135515809363,0.8705484800040721,0.4802988504618406,nan,0.9912306627501613,0.06779722414910794,1000.0,0.0,nan,0,11226,0,120,0.9146868648133255,0.0,4581.876776006213,0.0,206.41858374554178,0.0,0.9146868648133255,0.0,206.41858374554178,0.0,0.8602299819821897,0.0,1.5915848907840735,0.0,0.21463112861080014,0.01109430485405028,1.5915848907840735,1.1383429041991808,0.8602299819821897,0.9146868648133255,11.869068565368652,263.4579146203572
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.0621573895700696,0.8716534788906575,0.47259272292256355,nan,0.9309756540589862,0.06683405701071024,1000.0,0.0,nan,0,10830,0,114,0.8905365210666307,0.0,4627.191993948426,0.0,200.58035278320312,0.0,0.8905365210666307,0.0,200.58035278320312,0.0,0.8791707257429758,0.0,1.64912962410658,0.0,0.22209114285134193,0.006341785830445587,1.64912962410658,1.136643671052779,0.8791707257429758,0.8905365210666307,9.026115875244141,208.22363972767923
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.100161823503406,0.8725874787569046,0.46589993700385096,nan,0.9305543648569208,0.06632401287555695,1000.0,0.0,nan,0,10916,0,116,0.8942850422582381,0.0,4881.732149061141,0.0,201.6978944477282,0.0,0.8942850422582381,0.0,201.6978944477282,0.0,0.8631408998840734,0.0,1.700299674004822,0.0,0.20756460617198363,0.007330190148204565,1.700299674004822,1.1351836502127703,0.8631408998840734,0.8942850422582381,9.58064998626709,231.88227708040415
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.201766695924152,0.8735789795219898,0.459406126216054,nan,0.7397513857909611,0.06529503274708987,1000.0,0.0,nan,0,10684,0,110,0.8381793954542783,0.0,4665.568045204933,0.0,189.06244659423828,0.0,0.8381793954542783,0.0,189.06244659423828,0.0,0.9237563524927411,0.0,1.7604927802862298,0.0,0.16581786270918591,0.005266978866420686,1.7604927802862298,1.1322382093938663,0.9237563524927411,0.8381793954542783,6.61718563079834,163.29488158217268
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,3.266090579530224,0.8744502280652523,0.453630064278841,nan,0.8614561890854555,0.06419442407786846,1000.0,0.0,nan,0,10314,0,112,0.9151671574627599,0.0,5182.3693252962485,0.0,206.29075353285845,0.0,0.9151671574627599,0.0,206.29075353285845,0.0,0.8130921791581547,0.0,1.8068581667210362,0.0,0.2227914686561288,0.002324200854636729,1.8068581667210362,1.1299610960032669,0.8130921791581547,0.9151671574627599,8.767357025146485,220.2506963250906
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,3.305332854005913,0.875089727640152,0.44862026125192644,nan,0.8907561017119366,0.06518425066024065,1000.0,0.0,nan,0,10581,0,119,0.8864086892228135,0.0,5107.893967569978,0.0,199.91781218155572,0.0,0.8864086892228135,0.0,199.91781218155572,0.0,0.8388361282970594,0.0,1.8641322196522183,0.0,0.22499231133690994,0.0033760931668803096,1.8641322196522183,1.1268830677637565,0.8388361282970594,0.8864086892228135,11.495274200439454,293.70390313527366
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,3.335308650633853,0.8759042276442051,0.44371428079903125,nan,0.8198770341964868,0.06507982920855283,1000.0,0.0,nan,0,11524,0,122,0.8772283839775121,0.0,5200.204158813146,0.0,197.83939361572266,0.0,0.8772283839775121,0.0,197.83939361572266,0.0,0.8393129729307615,0.0,1.933399492625527,0.0,0.168820958575592,0.013887102883309126,1.933399492625527,1.1238872031574025,0.8393129729307615,0.8772283839775121,12.859560585021972,338.0132703228545
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,3.370974349797376,0.8766542275249958,0.4389720714837313,nan,0.812259316444397,0.06387388091534377,1000.0,0.0,nan,0,10671,0,113,0.8796644397853651,0.0,5441.399514378855,0.0,198.46900346544055,0.0,0.8796644397853651,0.0,198.46900346544055,0.0,0.8243922624323103,0.0,1.96846842232138,0.0,0.26598230360670844,0.004081674718763679,1.96846842232138,1.1242712284646188,0.8243922624323103,0.8796644397853651,8.931105155944824,244.8629781470485
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,3.411208776345109,0.877141227722168,0.43511697225272655,nan,0.9139035263886819,0.0641087543964386,1000.0,0.0,nan,0,10983,0,123,0.8652011995963442,0.0,5381.213654808986,0.0,195.19431480994592,0.0,0.8652011995963442,0.0,195.19431480994592,0.0,0.8321005403995514,0.0,2.0343435307642967,0.0,0.22039080939542216,0.005831816769205034,2.0343435307642967,1.119967931903087,0.8321005403995514,0.8652011995963442,12.687630462646485,349.77888756258403
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,3.4562171457165083,0.8776199781894684,0.43139395050704477,nan,1.1236071498954998,0.06450011592358351,1000.0,0.0,nan,0,10724,0,114,0.8639280328902127,0.0,5367.844565728219,0.0,195.11470121495864,0.0,0.8639280328902127,0.0,195.11470121495864,0.0,0.8220988231546739,0.0,2.062932076689506,0.0,0.35740626115790186,0.005408770621288568,2.062932076689506,1.1213620985911927,0.8220988231546739,0.8639280328902127,8.292374801635741,228.1333940434493
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,3.5061202247651524,0.878328228443861,0.4276554809510708,nan,0.9799295693635941,0.06547906462103129,1000.0,0.0,nan,0,11322,0,118,0.8454299763310351,0.0,5508.947453056686,0.0,191.01073150634767,0.0,0.8454299763310351,0.0,191.01073150634767,0.0,0.8357349067926407,0.0,2.1203075946060195,0.0,0.11646528174751439,0.012258986616507173,2.1203075946060195,1.1159841941729942,0.8357349067926407,0.8454299763310351,9.550536575317382,275.44737265283425
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,3.5609487158710795,0.8787694790959358,0.42453915014863014,nan,1.1068496488862567,0.06470234625041485,1000.0,0.0,nan,0,10688,0,114,0.8390632685382128,0.0,5468.9893865405165,0.0,189.25859832763672,0.0,0.8390632685382128,0.0,189.25859832763672,0.0,0.8328897356987,0.0,2.15924788894542,0.0,0.21284111259349933,0.0050081104878336195,2.15924788894542,1.1138223810974452,0.8328897356987,0.8390632685382128,8.516636924743652,246.10452239432328
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,3.620645994842278,0.8790834780037403,0.4218006821721792,nan,1.1235362846275856,0.06340463023632764,1000.0,0.0,nan,0,11800,0,126,0.8551764689472997,0.0,5646.001748134845,0.0,192.88257572568696,0.0,0.8551764689472997,0.0,192.88257572568696,0.0,0.7985218804458092,0.0,2.204801434666027,0.0,0.18224580416552208,0.01616182304918766,2.204801434666027,1.1132772253048835,0.7985218804458092,0.8551764689472997,13.983986740112305,409.33512673977634
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,3.685078640472122,0.8795984774827957,0.41893902026116847,nan,1.1239622104912996,0.06339704170823098,1000.0,0.0,nan,0,10992,0,114,0.8393242493302357,0.0,5727.024008995366,0.0,189.17520427703857,0.0,0.8393242493302357,0.0,189.17520427703857,0.0,0.8089421950280666,0.0,2.243610694869218,0.0,0.23471604008955183,0.008992515401914716,2.243610694869218,1.1091340332016175,0.8089421950280666,0.8393242493302357,7.567008171081543,229.08096035981464
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,3.754052792860233,0.8799174779653549,0.4163169315457344,nan,0.8608316508206454,0.06281508777290583,1000.0,0.0,nan,0,10912,0,118,0.812452505071226,0.0,5778.09786582001,0.0,183.3521492697976,0.0,0.812452505071226,0.0,183.3521492697976,0.0,0.8354879265481775,0.0,2.313031928600004,0.0,0.15526848418680442,0.005592717285035178,2.313031928600004,1.0948689463674643,0.8354879265481775,0.812452505071226,10.084368209838868,317.7953826201005
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,3.827333565551222,0.8803624770045281,0.4137633663415909,nan,1.0258369041340691,0.0626021920517087,1000.0,0.0,nan,0,10512,0,110,0.8131405060313803,0.0,5833.311768601603,0.0,183.37544141496932,0.0,0.8131405060313803,0.0,183.37544141496932,0.0,0.822788342833519,0.0,2.360175651935567,0.0,0.19654535013251007,0.002086390110198408,2.360175651935567,1.0850858140157766,0.822788342833519,0.8131405060313803,6.418140449523926,204.1659119010561
