algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,0,0.0,0.38058878999948503,2.0956277866363524,nan,0.17510453829169273,0.0,,0.0,nan,0,2,0,114
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,1,0.0,0.5555603877902031,1.8903813171386719,nan,0.1794421221911907,0.0,,nan,nan,0,0,0,210
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,2,0.0,0.6517117824554444,1.6797205414772034,nan,0.18130967411398888,0.0,,nan,nan,0,0,0,272
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,3,0.0,0.7099315825700759,1.4798095228672028,nan,0.1762857550382614,0.0,,nan,nan,0,0,0,308
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,4,0.0,0.7510773799419403,1.2994892854690552,nan,0.16719908848404885,0.0,,nan,nan,0,0,0,244
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,5,0.0,0.7797539805173874,1.1451798455715179,nan,0.15474909511208534,0.0,,0.0,nan,0,2,0,176
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,6,0.0,0.7999537799358368,1.018760349392891,nan,0.14045851224660874,0.0,,nan,nan,0,0,0,182
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,7,0.0,0.8142235797643661,0.9178431841135025,nan,0.12613401965796947,0.0,,nan,nan,0,0,0,320
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,8,0.0,0.8244909789562226,0.8380235130786896,nan,0.1131859518289566,0.0,,nan,nan,0,0,0,330
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,9,0.0,0.8325983785390854,0.7743386301994324,nan,0.10189299342036247,0.0,,nan,nan,0,0,0,254
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,10,0.0,0.8387373793125152,0.7234238234758377,nan,0.09228332367539406,0.0,,nan,nan,0,0,0,358
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,11,0.0,0.84416037940979,0.6816199344396591,nan,0.08426295405626297,0.0,,nan,nan,0,0,0,342
