algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,0,0.0,0.5580574870109558,1.8957038765152296,0.0,0.3629877505203088,0.36318326393763223,,0.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,1,0.0,0.697074984262387,1.4861086398363113,0.0,0.3567579794675112,0.35796899447838465,,0.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,2,0.0,0.7778320613006751,1.1465480585892995,0.0,0.3255810622125864,0.3286908522248268,,1.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,3,0.0,0.8127503971258799,0.9205243182679017,0.0,0.2672217714289824,0.27097467581431073,,1.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,4,0.0,0.8322362291316191,0.7778007487456003,0.0,0.21456673989693323,0.21877032692233722,,1.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,5,0.0,0.8456712293128172,0.6834898635745048,0.0,0.17621228365848463,0.18109642167886097,,0.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,6,0.0,0.8546933129429817,0.6180678178866704,0.0,0.14893315204729637,0.15452849492430687,,0.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,7,0.0,0.8615366448958715,0.5704383412996928,0.0,0.12929449739555518,0.13557767296830814,,1.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,8,0.0,0.8669499797125657,0.5341236422459285,0.0,0.11469704260428747,0.12158895221849282,,0.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,9,0.0,0.8712224788963795,0.5058130646745364,0.0,0.10319953737780452,0.11119157833357653,,0.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,10,0.0,0.8714178962012132,0.4981116700917482,0.0012782275244993609,0.094304215349257,1.027334781487783,,0.004909983633387889,0.0007347538574577516
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,11,0.0,0.8500441439449787,0.5425181988626718,0.004785643070787637,0.09116656566038728,1.838846884171168,,0.015037593984962405,0.0028456248517903723
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,12,0.0,0.8215887278939287,1.0656475075831016,0.003642250101173614,0.09954589949920774,3.112990307807922,,0.011764705882352941,0.0021546564519990424
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,13,0.0,0.8146941460048159,8.954525276025135,0.005785123966942149,0.14052723081161578,8.986333227157592,,0.019310344827586208,0.003402187120291616
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,14,0.0,0.829927064354221,287.30677649863065,0.01086443079829948,0.27566646557922164,51.20248635609945,,0.05897435897435897,0.005983350676378772
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,15,0.0,0.8169141467039783,21813.680985340477,0.0,0.808577163455387,319.2089538574219,,0.0,0.0
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,16,0.0,0.7934808115164439,1515660.6295508256,0.0020842017507294707,7.782856333442032,2362.921769205729,,0.00725689404934688,0.0012168410805548796
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,17,0.0,0.7896824792958796,47510519.453398906,0.06999085086916744,70.14437505997097,16182.03173828125,,0.2919847328244275,0.03976091476091476
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,18,0.0,0.7595483131706715,4120630678.1464286,0.06845296303539997,310.5006944916832,123299.09596354167,,0.18440463645943098,0.042026897214217096
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,19,0.0,0.7574783133653303,161232285221.0925,0.0017965416573096785,3707.60374454502,851486.9177083333,,0.008064516129032258,0.0010108668182966893
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,20,0.0,0.7442962331386904,11149638560503.412,0.0658551187387747,19198.873508979348,6377167.866666666,,0.1853932584269663,0.04003882552778452
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,21,0.0,0.730671230237931,501715690702214.8,0.08604322359119371,183055.35574551692,45054885.06666667,,0.24941451990632318,0.051989260434464245
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,22,0.0,0.7157041491319736,3.454548359656162e+16,0.024510772880015817,1160362.9101316242,333130848.0,,0.07126436781609195,0.014800668417283362
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,23,0.0,0.7097324801919361,1.1271412109844168e+18,0.05119074115290451,11131704.293782087,2338942182.4,,0.19896193771626297,0.02937420178799489
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,24,0.0,0.6793187337306639,9.906544174989032e+19,0.06007133470996809,48438032.93246862,17505867298.133335,,0.14842300556586271,0.03765591903977406
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,25,0.0,0.6732933158365388,4.1189641039605683e+21,0.06797927461139897,634044247.8074089,123642296593.06667,,0.2138200782268579,0.040413997042878264
dpsgd-kurtosis,scale,mnist,42,300,60,1.45,0.0234,0.1,iid,1.0,10,26,0.0,0.6595541493967175,2.3613253493485897e+23,0.06337033299697276,3457706051.0032706,928626186649.6,,0.18668252080856124,0.038162372386971316
