algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,0,2.563096916045848,0.11084724733605981,2.33321859896183,nan,4.222754893302917,4.2231059169769285,5.0,nan,nan,0,0,0,10662
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,1,2.8734654952718732,0.12646074682008476,2.3280002826452257,nan,4.222165356874466,4.2210115766525265,5.0,nan,nan,0,0,0,10964
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,2,3.1838340744978986,0.13973624649457633,2.3193936413526535,nan,4.2227652132511135,4.22443012714386,5.0,nan,nan,0,0,0,11058
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,3,3.303825288981192,0.14993449593894184,2.311125629544258,nan,4.22179838180542,4.2222241067886355,4.0,nan,nan,0,0,0,11600
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,4,3.3578162040185737,0.15646399576216935,2.3058559042215347,nan,4.223034174442291,4.223083639144898,4.0,nan,nan,0,0,0,10916
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,5,3.4118071190559554,0.1629662461206317,2.3054939311742784,nan,4.222524530887604,4.22459659576416,4.0,nan,nan,0,0,0,11580
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,6,3.4657980340933374,0.1686504957638681,2.2986021387577056,nan,4.222669308185577,4.222153053283692,4.0,nan,nan,0,0,0,10848
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,7,3.519788949130719,0.17539699589833618,2.2936836349964143,nan,4.223842257261277,4.223115344047546,4.0,nan,nan,0,0,0,11050
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,8,3.5737798641681007,0.180538245216012,2.292488868832588,nan,4.222225341796875,4.225348567962646,4.0,nan,nan,0,0,0,11710
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,9,3.6277707792054823,0.18600899536162616,2.2939037084579468,nan,4.222695766687393,4.2236804056167605,4.0,nan,nan,0,0,0,11736
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,10,3.681761694242864,0.192847495181486,2.2934967291355135,nan,4.221781903505326,4.220619258880615,4.0,nan,nan,0,0,0,11542
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,11,3.7357526092802456,0.19915299482643603,2.289406408071518,nan,4.222044229507446,4.225543437004089,4.0,nan,nan,0,0,0,11890
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,12,3.789743524317628,0.20364849466830492,2.289547670185566,nan,4.222369434833527,4.223678312301636,4.0,nan,nan,0,0,0,12078
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,13,3.8437344393550097,0.208892244650051,2.289330599308014,nan,4.222264218330383,4.22401340007782,4.0,nan,nan,0,0,0,10552
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,14,3.8977253543923913,0.21350224466994405,2.291720245182514,nan,4.222123129367828,4.224284563064575,4.0,nan,nan,0,0,0,10898
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,15,3.951716269429773,0.21837024418637158,2.2928404048085214,nan,4.223146125078201,4.222437176704407,4.0,nan,nan,0,0,0,10968
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,16,4.005707184467155,0.22474049454554915,2.285186949968338,nan,4.222213616371155,4.220848851203918,4.0,nan,nan,0,0,0,11810
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,17,4.059698099504536,0.22915624456480146,2.288103562295437,nan,4.2225648319721225,4.225179581642151,4.0,nan,nan,0,0,0,10802
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,18,4.113689014541918,0.23556074399501084,2.28821995228529,nan,4.223016545772553,4.222223873138428,4.0,nan,nan,0,0,0,11156
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,19,4.1676799295792994,0.24025774389505386,2.289559618830681,nan,4.223052605390548,4.22222333908081,4.0,nan,nan,0,0,0,11270
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,20,4.221670844616681,0.2449774942919612,2.297295235991478,nan,4.223352085351944,4.224247126579285,4.0,nan,nan,0,0,0,11266
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,21,4.275661759654063,0.2511137440428138,2.2934367033839225,nan,4.222871178388596,4.222357258796692,4.0,nan,nan,0,0,0,10734
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,22,4.329652674691444,0.2575692438520491,2.283653687238693,nan,4.224237920045852,4.221768670082092,4.0,nan,nan,0,0,0,11346
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,23,4.383643589728826,0.2624034941010177,2.2826265677809716,nan,4.222839053869247,4.222360968589783,4.0,nan,nan,0,0,0,10944
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,24,4.437634504766208,0.26779799301177265,2.2761308777332308,nan,4.22182736992836,4.223540744781494,4.0,nan,nan,0,0,0,11032
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,25,4.491625419803589,0.2708477434515953,2.2765208333730698,nan,4.223048288822174,4.22299744606018,4.0,nan,nan,0,0,0,10794
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,26,4.545616334840971,0.2747379936091602,2.277683104276657,nan,4.223249084949494,4.2235155153274535,4.0,nan,nan,0,0,0,10426
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,27,4.5996072498783525,0.2789574933797121,2.2724161207675935,nan,4.221651757955551,4.222199668884278,4.0,nan,nan,0,0,0,10700
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,28,4.653598164915734,0.2847344923764467,2.2765419524908066,nan,4.223186063766479,4.223290724754333,4.0,nan,nan,0,0,0,11646
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,29,4.707589079953116,0.2873467426560819,2.282582994401455,nan,4.2237464261054996,4.221197557449341,4.0,nan,nan,0,0,0,10784
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,30,4.761579994990497,0.29169849257916214,2.2800099036097525,nan,4.222580361366272,4.223138275146485,4.0,nan,nan,0,0,0,11106
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,31,4.815570910027879,0.2955994927510619,2.277693583369255,nan,4.223686093091965,4.224262762069702,4.0,nan,nan,0,0,0,10838
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,32,4.869561825065261,0.29750724252313376,2.2885925835371017,nan,4.223380298614502,4.223068079948425,4.0,nan,nan,0,0,0,11440
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,33,4.923552740102642,0.30060924239456654,2.2867494195699694,nan,4.222747708559036,4.222945561408997,4.0,nan,nan,0,0,0,10802
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,34,4.977543655140024,0.30495349269360306,2.2810035392642023,nan,4.223400495052338,4.221304717063904,4.0,nan,nan,0,0,0,11926
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,35,5.0315345701774055,0.3081542422994971,2.282026889324188,nan,4.222766530513764,4.2246884870529176,4.0,nan,nan,0,0,0,11106
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,36,5.085525485214787,0.3121514922380447,2.2832354974746703,nan,4.222958116531372,4.22157657623291,4.0,nan,nan,0,0,0,11030
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,37,5.139516400252169,0.31501699175685643,2.2936728283762933,nan,4.224029504060745,4.221238408088684,4.0,nan,nan,0,0,0,10622
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,38,5.19350731528955,0.31766174256801605,2.289680395424366,nan,4.2228008806705475,4.2232963609695435,4.0,nan,nan,0,0,0,12040
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,39,5.247498230326932,0.3230232414975762,2.281449067890644,nan,4.222706013917923,4.223761262893677,4.0,nan,nan,0,0,0,11194
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,40,5.301489145364314,0.324786992110312,2.2838482996821403,nan,4.22279247045517,4.22054913520813,4.0,nan,nan,0,0,0,11506
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,41,5.355480060401695,0.32653124138712886,2.288597508072853,nan,4.222635173797608,4.221164364814758,4.0,nan,nan,0,0,0,11824
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,42,5.409470975439077,0.3318439917638898,2.2774387580156326,nan,4.222879122495652,4.224688577651977,4.0,nan,nan,0,0,0,10904
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,43,5.4634618904764585,0.3349694922938943,2.281074238717556,nan,4.223333755731582,4.22371096611023,4.0,nan,nan,0,0,0,11320
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,44,5.51745280551384,0.33786574184894563,2.2814554819464683,nan,4.22217501282692,4.221518077850342,4.0,nan,nan,0,0,0,11092
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,45,5.571443720551222,0.3422022418677807,2.2779753533005715,nan,4.2237107527256015,4.222473402023315,4.0,nan,nan,0,0,0,11818
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,46,5.625434635588603,0.34532649036496876,2.2791558560729026,nan,4.222533578872681,4.22467451095581,4.0,nan,nan,0,0,0,10822
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,47,5.679425550625985,0.3495859918370843,2.270807277560234,nan,4.222464656829834,4.224677796363831,4.0,nan,nan,0,0,0,12214
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,48,5.733416465663367,0.3506112408638,2.2752840131521226,nan,4.222310123443603,4.224036278724671,4.0,nan,nan,0,0,0,10528
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,49,5.787407380700748,0.3524792417883873,2.277080070376396,nan,4.223337984085083,4.224137082099914,4.0,nan,nan,0,0,0,10732
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,50,5.809521151601082,0.3501362415775657,2.2954299250245094,nan,4.224059623479843,2.4166768407821655,3.0,nan,0.0,0,0,10579,843
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,51,5.829282517710066,0.3501027413085103,2.350971598625183,nan,4.223618503808975,4.762447319030762,3.0,nan,0.0,0,0,10384,588
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,52,5.84904388381905,0.3495812405645847,2.7030452916026118,nan,4.224013713598251,6.983546457290649,3.0,nan,0.0,0,0,10184,412
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,53,5.868805249928035,0.3423509920621291,15.610919649600982,nan,4.223269349336624,19.495643405914308,3.0,nan,0.0,0,0,10588,818
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,54,5.888566616037019,0.3368294916301966,213.92879380494355,nan,4.2239069235324855,64.82265205383301,3.0,nan,0.0,0,0,10701,1065
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,55,5.908327982146003,0.3371982415113598,1696.3574835270642,nan,4.223659578561783,246.5726338195801,3.0,nan,0.0,0,0,10092,296
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,56,5.928089348254987,0.3372379916952923,25466.211597711444,nan,4.223209530115128,952.3499206542969,3.0,nan,0.0,0,0,10126,286
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,57,5.9478507143639705,0.33628124187001956,766121.8458727011,nan,4.222245434522629,3779.631520996094,3.0,nan,0.0,0,0,10419,799
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,58,5.967612080472955,0.3267749916994944,19225841.243054565,nan,4.221966878175736,15041.177783203126,3.0,nan,0.0,0,0,10663,1085
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,59,5.987373446581939,0.3226769924245309,374563142.9867975,nan,4.223406335115433,61401.55453125,3.0,nan,0.0,0,0,10478,722
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,60,6.007134812690923,0.3206067414896097,7937648824.422301,nan,4.22322855591774,260756.0696875,3.0,nan,0.0,0,0,10479,683
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,61,6.026896178799908,0.3168669911415782,116825590343.94464,nan,4.223936774730682,1127515.08875,3.0,nan,0.0,0,0,10395,659
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,62,6.046657544908892,0.31600224280322436,2359640674592.234,nan,4.2217979025840755,5037017.855,3.0,nan,0.0,0,0,10355,667
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,63,6.066418911017876,0.31289474226592573,68175535549085.46,nan,4.222312434911728,22828289.44,3.0,nan,0.0,0,0,10427,853
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,64,6.08618027712686,0.30824524272291454,2207529387471138.5,nan,4.22315390586853,105957348.96,3.0,nan,0.0,0,0,10907,1205
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,65,6.105941643235844,0.30624399133666885,3.829650900463385e+16,nan,4.222912670373916,473950038.08,3.0,nan,0.0,0,0,10680,1018
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,66,6.125703009344829,0.30753374185820576,3.3702510064869414e+17,nan,4.222834755182266,2199310868.48,3.0,nan,0.0,0,0,10176,422
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,67,6.1454643754538125,0.30666499225830196,9.735263074006325e+18,nan,4.223266844749451,10478908876.8,3.0,nan,0.0,0,0,10233,571
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,68,6.1652257415627965,0.3049264920776477,3.169173634084019e+20,nan,4.222787243127823,50316978708.48,3.0,nan,0.0,0,0,10428,854
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,69,6.184987107671781,0.3044024918967625,2.6576160564849976e+21,nan,4.223149634599686,236150867558.4,3.0,nan,0.0,0,0,10039,191
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,70,6.204748473780765,0.3039664919342613,9.520879868224132e+22,nan,4.222830369472503,1149363430359.04,3.0,nan,0.0,0,0,10223,393
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,71,6.224509839889749,0.3022069914353779,3.0572348619122306e+24,nan,4.222632744312286,5331463553679.36,3.0,nan,0.0,0,0,10377,595
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,72,6.244271205998733,0.29985899139137473,4.8299891669681605e+25,nan,4.223025711774826,24978441979822.08,3.0,nan,0.0,0,0,10221,471
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,73,6.264032572107717,0.2977084923803341,1.588556079869823e+27,nan,4.2238142204284665,116415196771123.2,3.0,nan,0.0,0,0,10377,705
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,74,6.283793938216702,0.2978939912916394,2.935302031053919e+28,nan,4.223037619590759,551969338697973.75,3.0,nan,0.0,0,0,10316,594
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,75,6.303555304325686,0.29743099249724764,7.460086074098374e+29,nan,4.222211669683457,2550019700188774.5,3.0,nan,0.0,0,0,10345,599
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,76,6.32331667043467,0.29646524154406506,1.2086659171070612e+31,nan,4.224380197525025,1.2117513198538588e+16,3.0,nan,0.0,0,0,10186,430
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,77,6.3430780365436545,0.2960677426244365,3.8183809172672944e+32,nan,4.222262949943542,5.679465208049828e+16,3.0,nan,0.0,0,0,10369,671
dp-fedavg,scale,fashion_mnist,42,500,100,0.8,0.0234,0.05,iid,1.0,50,78,6.3628394026526385,0.29602074195921885,inf,nan,4.223140054941178,2.6836871908016784e+17,3.0,nan,0.0,0,0,10457,623
