algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3831764896959066,2.0926845923066137,nan,0.5642209003369013,0.17518180400133132,1000.0,0.0,nan,0,10554,0,108,1.0,0.0,1.0,0.0,225.68775939941406,0.0,225.68775939941406,0.0,1296.1441014128511,0.0,0.05718133577068404,0.0,1.0,0.0,0.263758605287876,0.005038816402666271,0.05718133577068404,0.3251468389155951,1.0,1.0,6.770632781982422,38.88432304238553
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.9659741252658238,0.5574134866148234,1.8823010802268982,nan,0.6074253446177432,0.18107693821191786,1000.0,0.0,nan,0,10847,0,117,0.9972465119571455,0.0,0.9972465119571455,0.0,224.92746694464432,0.0,224.92746694464432,0.0,1243.9245639820172,0.0,0.139664533905693,0.0,0.9927309939735814,0.0,0.2611564619981341,0.009190842960961162,0.139664533905693,0.4995638601889965,0.9927309939735814,0.9972465119571455,10.684054679870606,59.08641678914581
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.0560367436660916,0.6534107327461243,1.6675059288740157,nan,0.6022865176200867,0.18461423307657243,1000.0,0.0,nan,0,10941,0,117,0.9823179393164434,0.0,0.9823179393164434,0.0,221.68548431396485,0.0,221.68548431396485,0.0,1219.8326808568495,0.0,0.23335628942988634,0.0,0.9978379219770431,0.0,0.30313685367582366,0.01036650437861681,0.23335628942988634,0.6320097841142802,0.9978379219770431,0.9823179393164434,11.084274215698242,60.99163404284247
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.112043455706525,0.7120824815332889,1.4622715091705323,nan,0.584235617408046,0.1811925272643566,1000.0,0.0,nan,0,11475,0,125,0.9727036045485705,0.0,0.9727036045485705,0.0,219.3743608262804,0.0,219.3743608262804,0.0,1250.8282205817654,0.0,0.3594319235512643,0.0,0.9976731604999967,0.0,0.27758814046952734,0.01769318610429764,0.3594319235512643,0.7609593705879781,0.9976731604999967,0.9727036045485705,14.807769355773926,84.43090488926914
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.112043455706525,0.7534057308733463,1.280869413614273,nan,0.5677492817242941,0.17322420164942742,1000.0,0.0,nan,0,10801,0,115,0.9639957422273286,0.0,0.9639957422273286,0.0,217.6315426296658,0.0,217.6315426296658,0.0,1310.5902998944061,0.0,0.4468103189440433,0.0,0.996662845214208,0.0,0.2608631245610822,0.008737078439444303,0.4468103189440433,0.8296145783288101,0.996662845214208,0.9639957422273286,9.793419418334961,58.976563495248286
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.2698941059038136,0.7817462302744389,1.125982477515936,nan,0.69250930680169,0.1623282963037491,1000.0,0.0,nan,0,11465,0,115,0.9669827805622364,0.0,0.9669827805622364,0.0,217.9486821492513,0.0,217.9486821492513,0.0,1428.71162327729,0.0,0.5167823666558091,0.0,0.9834389521016015,0.0,0.1606327368515647,0.018179418267682195,0.5167823666558091,0.8783371391499805,0.9834389521016015,0.9669827805622364,9.807690696716309,64.29202304747805
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.2698941059038136,0.8019234801828862,1.0015261571109295,nan,0.6753183901309967,0.1483584688603878,1000.0,0.0,nan,0,10733,0,115,0.9675166435225293,0.0,0.9675166435225293,0.0,218.29557376437717,0.0,218.29557376437717,0.0,1588.1682516708938,0.0,0.5881650592086097,0.0,0.9726554685168796,0.0,0.31092863832600415,0.006984120928682387,0.5881650592086097,0.9215068575077915,0.9726554685168796,0.9675166435225293,9.823300819396973,71.46757132519022
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.376147185748644,0.815708478987217,0.9026372852921486,nan,0.6438185328787024,0.13495079204440116,1000.0,0.0,nan,0,10932,0,118,0.9568482532928848,0.0,0.9568482532928848,0.0,215.78845839066938,0.0,215.78845839066938,0.0,1748.9284569740898,0.0,0.6788808115407596,0.0,0.9737724201245741,0.0,0.3240693512647836,0.007990811727941036,0.6788808115407596,0.9694007767345749,0.9737724201245741,0.9568482532928848,11.868365211486816,96.19106513357494
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.403861906636235,0.8259572286903858,0.8242171427607536,nan,0.7032937782782095,0.12265416637063026,1000.0,0.0,nan,0,11585,0,125,0.9687463618525946,0.0,0.9687463618525946,0.0,218.47864278157553,0.0,218.47864278157553,0.0,1960.2249294699225,0.0,0.7737290846134871,0.0,0.9505695943479184,0.0,0.3184629622846842,0.017301719710230826,0.7737290846134871,1.0129782695299374,0.9505695943479184,0.9687463618525946,14.747308387756348,132.31518273921975
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.4530679252168093,0.8336994779109955,0.7617050246894359,nan,0.6978243788083395,0.11200466223061084,1000.0,0.0,nan,0,11615,0,121,0.9690012037737153,0.0,0.9690012037737153,0.0,218.277312596639,0.0,218.277312596639,0.0,2192.3709076622654,0.0,0.8581005879416044,0.0,0.9397438019514084,0.0,0.22015871912784254,0.018273650147020818,0.8581005879416044,1.0444722017654462,0.9397438019514084,0.9690012037737153,13.09663875579834,131.54225445973591
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,10,2.4530679252168093,0.8396632291376591,0.7120831549167633,nan,0.7589319348335266,0.1029486195743084,1000.0,0.0,nan,0,11421,0,121,0.9419366408394261,0.0,0.9419366408394261,0.0,212.5766086578369,0.0,212.5766086578369,0.0,2347.374566852548,0.0,0.9502165969037233,0.0,0.9589990178743998,0.0,0.26004870018611353,0.014378596469759941,0.9502165969037233,1.0721055842992595,0.9589990178743998,0.9419366408394261,12.754596519470216,140.8424740111529
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,11,2.4566712974361176,0.845052230656147,0.6711927837133408,nan,0.8406114379564921,0.09652360826730728,1000.0,0.0,nan,0,11769,0,121,0.9524475237953274,0.0,0.9524475237953274,0.0,214.96103731791177,0.0,214.96103731791177,0.0,2635.965059560662,0.0,1.0198327826361882,0.0,0.9368037159244219,0.0,0.22425694388221018,0.02020348370075226,1.0198327826361882,1.0894473519468786,0.9368037159244219,0.9524475237953274,12.897662239074707,158.15790357363974
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,12,2.4896114910721288,0.8492624787986278,0.637518968731165,nan,0.7625870691693347,0.09009263932704925,1000.0,0.0,nan,0,11958,0,120,0.9517760703677255,0.0,0.9517760703677255,0.0,214.67773570185122,0.0,214.67773570185122,0.0,2907.902490250045,0.0,1.0961081923745193,0.0,0.9268754772517992,0.0,0.12204482630097671,0.02173343879170716,1.0961081923745193,1.1036155639595417,0.9268754772517992,0.9517760703677255,12.343969802856446,167.20439318937767
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,13,2.5468048375345598,0.8526459789276123,0.6101003976166248,nan,0.8792502745985985,0.08495225012302399,1000.0,0.0,nan,0,10436,0,116,0.9377835906019365,0.0,0.9377835906019365,0.0,211.42030715942383,0.0,211.42030715942383,0.0,2963.6598062841254,0.0,1.1425811993051094,0.0,0.9320254296064376,0.0,0.31668989211320875,0.0027857751958072184,1.1425811993051094,1.1116069262979342,0.9320254296064376,0.9377835906019365,10.571015357971191,148.18299031420625
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,14,2.5468048375345598,0.8557792297005653,0.5865755297243596,nan,0.848062264919281,0.08071031980216503,1000.0,0.0,nan,0,10786,0,112,0.9195823128353524,0.0,0.9195823128353524,0.0,207.50821431477866,0.0,207.50821431477866,0.0,3173.098615471342,0.0,1.1956126932913815,0.0,0.9422285596529643,0.0,0.1607287977822125,0.006807004313450307,1.1956126932913815,1.1181344740156114,0.9422285596529643,0.9195823128353524,7.781558036804199,118.99119808017532
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,15,2.579071073848239,0.8585174781084061,0.5664291904866695,nan,0.87845188946951,0.07692869521677494,1000.0,0.0,nan,0,10851,0,117,0.9364381022195281,0.0,0.9364381022195281,0.0,211.21457199823288,0.0,211.21457199823288,0.0,3444.1267221846742,0.0,1.249910928071278,0.0,0.9120141466458639,0.0,0.2243492156821525,0.006362064119894057,1.249910928071278,1.1236903623428494,0.9120141466458639,0.9364381022195281,11.088765029907227,180.8166529146954
