algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.3802057396620512,2.095661504268646,nan,0.17508522186428307,0.17518180400133132,,nan,nan,0,0,0,10662
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5547224868834019,1.890487132668495,nan,0.17944399416446685,0.18096380785107613,,nan,nan,0,0,0,10964
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6510347330570221,1.6799195230007171,nan,0.18125902738422156,0.18387046545743943,,0.0,nan,0,103,0,10955
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.7095182329416275,1.480073604285717,nan,0.17620831545442342,0.17990489855408667,,0.0,nan,0,103,0,11497
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.7510189811885357,1.2997094276547432,nan,0.16713764369487763,0.17193385407328607,,0.0,nan,0,91,0,10825
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.7797417308390141,1.145374741256237,nan,0.1547229541838169,0.16007257282733917,,0.0,nan,0,108,0,11472
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.8002454800903798,1.0188093222677708,nan,0.14041968148201703,0.14589890837669373,,0.0,nan,0,86,0,10762
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.8144952294230461,0.9178724665939808,nan,0.12612011436372994,0.13167775318026542,,nan,nan,0,0,0,11050
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.824783980101347,0.8380709835886955,nan,0.11321121452376247,0.11886223569512368,,0.0,nan,0,87,0,11623
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.8328639781475067,0.7742564246058464,nan,0.10193325083702803,0.10772205464541912,,0.0,nan,0,1,0,11735
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.8389777295291424,0.7233336284756661,nan,0.09232642646878958,0.0985528739541769,,0.0,nan,0,4,0,11538
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.8443792296946049,0.6814543449878693,nan,0.08426515873521566,0.09093987628817558,,0.0,nan,0,258,0,11632
trimmed-mean,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.8487054800987244,0.647113126963377,nan,0.07756699619814754,0.08438158929347991,,0.0,nan,0,155,0,11923
