algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.3802886559565862,2.095644858678182,nan,0.1751359083255132,0.17505748324096204,,0.0,nan,0,30595,0,205,0.2703644612005779,0.6258432246744633
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5554633200168609,1.8903033757209777,nan,0.17950912217299145,0.18114055052399636,,0.0,nan,0,30955,0,213,0.17681823612656444,0.6046248169243336
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6518273174762725,1.6796335872014363,nan,0.18136472418904304,0.18427396811544894,,0.0,nan,0,31093,0,213,0.20720229024688402,0.6391013200581074
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.710333314538002,1.4797585209210713,nan,0.17627067968249321,0.18042601749300957,,0.0,nan,0,31165,0,217,0.17166666835546493,0.6431785821914673
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.7511999823649724,1.299450075229009,nan,0.16717563524842263,0.1726830955594778,,0.0,nan,0,30997,0,211,0.20319180603006057,0.6451982556283474
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.7795096458991368,1.145137136777242,nan,0.15478542198737463,0.16173355787992477,,0.0,nan,0,30659,0,207,0.22719320080553493,0.6260763300955295
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.8000599801540375,1.0185931658744811,nan,0.14044513742129008,0.14726961731910707,,0.0,nan,0,30958,0,214,0.17239004944761593,0.6006047378480435
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.814293648203214,0.9177932355801265,nan,0.12617732693751654,0.13369789011776448,,0.0,nan,0,30833,0,215,0.12455685860994789,0.593522432744503
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.8245296456416448,0.8380948009093603,nan,0.11326047005752722,0.12170779116451741,,0.0,nan,0,31693,0,221,0.16549408484412276,0.5761490800976753
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.8326036447286606,0.7743471936384837,nan,0.1019958072155714,0.1117856465280056,,0.0,nan,0,31522,0,216,0.18740757865210375,0.5603349544107914
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.8387936462958654,0.7234632233778636,nan,0.09236145141224067,0.10327693227678537,,0.0,nan,0,31816,0,218,0.20362090579185047,0.5546935838460922
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.8441643126805624,0.6816471250851949,nan,0.0843038051078717,0.0963689499348402,,0.0,nan,0,31465,0,215,0.16771945957508352,0.5394059655070305
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.8483669797579447,0.647346244653066,nan,0.07765582211315632,0.09006173122674227,,0.0,nan,0,30492,0,208,0.11919167684391141,0.539014398008585
krum,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.8519656439622243,0.6186401559909185,nan,0.07195502775410811,0.0857581339031458,,0.0,nan,0,30760,0,216,0.10356006102965158,0.5818792901933193
