algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.4580994876474142,1.9725022035837174,nan,0.23520388927310706,0.23513522297143935,,0.0,nan,0,10553,0,109,0.11901950898269813,0.35797709345817563
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5722342345118523,1.7060322234034537,nan,0.20436048530042172,0.20460598289966583,,0.0,nan,0,10848,0,116,0.10231051966547966,0.33966821402311326
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6223702330887317,1.4816303914785385,nan,0.18745467383414507,0.19053702756762506,,0.0,nan,0,10940,0,118,0.10063062943518161,0.32730295360088346
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.6511137346923351,1.3054849106073378,nan,0.16599892023950816,0.17034902811050415,,0.0,nan,0,11475,0,125,0.10520386799342102,0.3131127107143402
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.6736419828236103,1.1757619482278825,nan,0.14292243160307408,0.146893735229969,,0.0,nan,0,10800,0,116,0.08328890500383244,0.2845144376158714
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.6905704829096794,1.081487218439579,nan,0.12296071629971266,0.12742729350924492,,0.0,nan,0,11464,0,116,0.1375452922915833,0.29371093451976776
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7023907318711281,1.0110297288000583,nan,0.10731365017592907,0.11175853595137596,,0.0,nan,0,10734,0,114,0.08000918581253952,0.29918710231781004
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.7104339818656444,0.9571929495036602,nan,0.09548291482031346,0.10051522076129914,,0.0,nan,0,10931,0,119,0.07761238786307248,0.27754494190216067
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.7170317324995995,0.914136359244585,nan,0.08646538157016039,0.09130420230329037,,0.0,nan,0,11585,0,125,0.0940076997158704,0.27386606991291046
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.7229447320103646,0.8789080649614334,nan,0.07925588607788087,0.08545507654547692,,0.0,nan,0,11615,0,121,0.0988356356198589,0.267594221830368
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.7279879820346832,0.8495666566491127,nan,0.07356641357764601,0.07986263222992421,,0.0,nan,0,11421,0,121,0.08840537975387026,0.2654527521133423
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.7324954818189144,0.8246577771008015,nan,0.06869681930169463,0.07579007178544998,,0.0,nan,0,11768,0,122,0.10780224592114489,0.26254343569278715
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.7363574805855752,0.8034100219607353,nan,0.06472714034840464,0.073014422878623,,0.0,nan,0,11958,0,120,0.12167233244880386,0.2713290968537331
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.7402292308211327,0.7846706326305867,nan,0.06128512267023325,0.07010251559317111,,0.0,nan,0,10435,0,117,0.04419293887913227,0.2749882051348686
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,14,0.0,0.7436229798197747,0.7684372445940971,nan,0.058258817959576846,0.06867538798600435,,0.0,nan,0,10785,0,113,0.08884992341821392,0.2932299190759659
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,15,0.0,0.7465042316913605,0.7542467403411866,nan,0.05600272297859192,0.06819398980587721,,0.0,nan,0,10850,0,118,0.07383171562105417,0.31249404072761533
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,16,0.0,0.7493414804339409,0.7415195871889592,nan,0.05384061959572137,0.06768339447677135,,0.0,nan,0,11691,0,119,0.14608681439422072,0.3216415446996689
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,17,0.0,0.7521384805440903,0.7299778258800507,nan,0.051805327609181405,0.0657917407527566,,0.0,nan,0,10687,0,115,0.07421597176127964,0.3067969036102295
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,18,0.0,0.7546067306399346,0.7197713376581669,nan,0.0500976044870913,0.06533691737800837,,0.0,nan,0,11038,0,118,0.09160203327025686,0.32332105994224547
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,19,0.0,0.7568072298169136,0.71025934278965,nan,0.04872559483163059,0.06448067102581262,,0.0,nan,0,11152,0,118,0.11591628913043274,0.33195208430290224
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,20,0.0,0.7587484785914421,0.7019184423983097,nan,0.04720518480055034,0.06492988981306552,,0.0,nan,0,11145,0,121,0.09572267028587786,0.34876776218414307
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.7607354812324048,0.694159050732851,nan,0.04619742346927524,0.06683847505599261,,0.0,nan,0,10622,0,112,0.09721969704454143,0.3739559879899025
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.7625154812633991,0.6867647340893746,nan,0.04482207397930324,0.06781765524297953,,0.0,nan,0,11224,0,122,0.11833695293930561,0.4106428039073944
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.7643194821476936,0.6803579868376255,nan,0.04376561061479151,0.06914636384695769,,0.0,nan,0,10829,0,115,0.11304246458328432,0.4257796737551689
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.7660199789702893,0.6740359522402286,nan,0.042939710840582845,0.06861449837684631,,0.0,nan,0,10916,0,116,0.11593408470875338,0.43161390751600265
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.7674972301721573,0.6685727766156196,nan,0.04225425966084004,0.06908387545496225,,0.0,nan,0,10683,0,111,0.1344375257779445,0.4516290435194969
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.7689067293703556,0.6631094898283482,nan,0.041394891859963534,0.07054235216230154,,0.0,nan,0,10313,0,113,0.05835061914780561,0.45591073364019397
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.7703322297334672,0.6582448056340218,nan,0.04087823960930109,0.07036153595894575,,0.0,nan,0,10579,0,121,0.06267835568312717,0.4690540263056755
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.7717539793252945,0.6534377008676528,nan,0.04035070946440101,0.06988110434263944,,0.0,nan,0,11523,0,123,0.13683230601824248,0.4584713977575302
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.7728379821777344,0.6491692216694355,nan,0.039479630310088394,0.07013752516359091,,0.0,nan,0,10669,0,115,0.10574550259237488,0.48076005578041076
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.7739687295258045,0.6452792511880397,nan,0.038777275243774056,0.06937772762030363,,0.0,nan,0,10982,0,124,0.09019127430824134,0.464212175309658
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.775146231353283,0.6413596230745315,nan,0.03867357249371708,0.06982694327831268,,0.0,nan,0,10722,0,116,0.12003664305324063,0.4931660982966423
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.7760969804227352,0.6376933532953263,nan,0.038366352738812566,0.07320342887192964,,0.0,nan,0,11322,0,118,0.1842280542012304,0.5410375291109085
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.7771637317538261,0.6344941543042659,nan,0.03751458951272071,0.07342853177338839,,0.0,nan,0,10686,0,116,0.1088574096146557,0.534333530664444
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.7780947315692902,0.6312224452197551,nan,0.03718504708725959,0.07431218054145575,,0.0,nan,0,11800,0,126,0.16880833469973555,0.5484046429395676
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.7790489800274372,0.6279226817190647,nan,0.03695739958435297,0.07441007662564517,,0.0,nan,0,10992,0,114,0.19814288351335563,0.5554133117198944
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.7795319806039334,0.6254514443874359,nan,0.036387744219973685,0.07559641227126121,,0.0,nan,0,10909,0,121,0.1144189407879656,0.5828272414207458
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.780646730363369,0.6227042576670647,nan,0.03611249084584415,0.07752382021397353,,0.0,nan,0,10509,0,113,0.1348581143787929,0.6187060695886611
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.7813727317750454,0.6199884334206581,nan,0.03576081743929535,0.0786726589128375,,0.0,nan,0,11909,0,131,0.17169126746011898,0.635378178358078
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.7818877294659614,0.6177526727318764,nan,0.035555033260025085,0.07592000886797905,,0.0,nan,0,11075,0,119,0.16734796529635787,0.5977968442440033
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.7827547305822372,0.6153354458510876,nan,0.03540644882712513,0.07620606403797865,,0.0,nan,0,11386,0,120,0.16623429630029327,0.6087888008356095
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.7837572304904461,0.6127852369844914,nan,0.03502460818737745,0.08021613094955683,,0.0,nan,0,11697,0,127,0.18042625595505038,0.6745315206050873
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.7839864811301231,0.6111249458789826,nan,0.034415909945964815,0.08005373310297728,,0.0,nan,0,10791,0,113,0.17378217313329086,0.6814108252525329
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.784699981212616,0.6092982786893845,nan,0.03428089284803718,0.08023807000368834,,0.0,nan,0,11196,0,124,0.1607502605393529,0.6851557260751724
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.7853974808752536,0.6069918556511402,nan,0.03436149191111326,0.08172524940222502,,0.0,nan,0,10968,0,124,0.10398090944659931,0.6995513558387756
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.7859099796414375,0.6052992726862431,nan,0.033723374241963026,0.08058194391429424,,0.0,nan,0,11695,0,123,0.23530523044988513,0.695546635389328
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.7865614798665047,0.6035158325731754,nan,0.033525892212055625,0.08171688947826623,,0.0,nan,0,10709,0,113,0.193790815025568,0.7116068279743195
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.7870179803669453,0.6019594687223434,nan,0.03315627282019704,0.08125059094280004,,0.0,nan,0,12089,0,125,0.23094424731763347,0.7160793459415435
krum,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.7875149792432785,0.6004414027929306,nan,0.03317322506569326,0.08353741962462663,,0.0,nan,0,10413,0,115,0.10723233950557187,0.758998790383339
