algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.3789369884133339,2.0958075058460235,nan,0.17500371396541595,0.17517175450921058,,0.0,nan,0,425,0,49733
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5558699871599674,1.8906721895933152,nan,0.17936526268720626,0.1810754108428955,,0.0,nan,0,543,0,50667
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6531379824876785,1.6800342547893523,nan,0.1812826396524906,0.18381590709090234,,0.0,nan,0,589,0,50511
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.7117409816384316,1.480004101395607,nan,0.17627107419073582,0.17972797870635987,,0.0,nan,0,767,0,50475
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.7523389828205108,1.299411518573761,nan,0.16724833466112612,0.17166894083221754,,0.0,nan,0,699,0,50269
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.7803649812936783,1.1449042814970016,nan,0.15496461503207684,0.1598018099864324,,0.0,nan,0,863,0,49701
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.8003969788551331,1.0181382229924203,nan,0.14060890458524228,0.1457568124930064,,0.0,nan,0,294,0,50352
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.8146804785728454,0.9169890609383583,nan,0.12625851824879647,0.13167961522936822,,nan,nan,0,399,0,51087
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.8249799796938896,0.8372090500593186,nan,0.11330253299325704,0.11905088096857071,,0.0,nan,0,448,0,51222
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.8329074800014495,0.7734138828516006,nan,0.10197434362024069,0.10805943933626017,,0.0,nan,0,68,0,51560
trimmed-mean,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.839096978008747,0.7224773988127708,nan,0.0923040871322155,0.09896495210627715,,0.0,nan,0,439,0,50717
